,type,encoder_layer_sizes,learning_rate,learning_rate_classifier,activation,optimizer,criterion,epochs,F1,Accuracy,Recall,Precision
0,autoencoder,"[32, 16, 8]",0.001,0.0005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.2601858470335954,0.8882530770891816,0.151120952117354,0.934931506849315
1,autoencoder,"[32, 16, 8]",0.001,0.0005,ReLU(),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
2,autoencoder,"[32, 16, 8]",0.001,0.001,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.4785687663063735,0.8993018066652271,0.355383337946305,0.7324586423274386
3,autoencoder,"[32, 16, 8]",0.001,0.001,ReLU(),Adam,MSELoss,200,0.5010462240821761,0.9055999424170446,0.36451702186548574,0.801094890510949
4,autoencoder,"[32, 16, 8]",0.001,0.005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.5148188803512623,0.9045562513496005,0.3894270689177968,0.7593092282784674
5,autoencoder,"[32, 16, 8]",0.001,0.005,ReLU(),Adam,MSELoss,200,0.13236514522821577,0.5484776506154179,0.2648768336562414,0.08822715958329493
6,autoencoder,"[32, 16, 8]",0.01,0.0005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
7,autoencoder,"[32, 16, 8]",0.01,0.0005,ReLU(),Adam,MSELoss,200,0.0569586243954863,0.8736773914921183,0.02933849986161085,0.9724770642201835
8,autoencoder,"[32, 16, 8]",0.01,0.001,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.42320819112627994,0.8966026056287338,0.2917243288126211,0.77046783625731
9,autoencoder,"[32, 16, 8]",0.01,0.001,ReLU(),Adam,MSELoss,200,0.43275792854275397,0.8982941049449363,0.29836700802657073,0.787436084733382
10,autoencoder,"[32, 16, 8]",0.01,0.005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.1899571817827949,0.4008493485928165,0.5402712427345696,0.11523702697916052
11,autoencoder,"[32, 16, 8]",0.01,0.005,ReLU(),Adam,MSELoss,200,0.20216606498194944,0.4432447995393364,0.5424854691392195,0.12423147619953097
12,autoencoder,"[32, 16, 8]",0.05,0.0005,LeakyReLU(negative_slope=0.01),Adam,MSELoss,200,0.0,0.8699704887353343,0.0,0.0
13,autoencoder,"[32, 16, 8]",0.05,0.0005,ReLU(),Adam,MSELoss,200,0.23013471766616772,0.13002951126466566,1.0,0.13002951126466566
