,type,conv1_out_channels,kernel_size,lstm_hidden_size,fc1_out_features,learning_rate,optimizer,criterion,epochs,F1,Accuracy,Recall,Precision
0,clstm,16,3,16,4,0.001,Adam,BCELoss,200,0.6090934294427501,0.8985100410278557,0.608081926376972,0.6101083032490975
1,clstm,16,3,16,4,0.01,Adam,BCELoss,200,0.0,0.8699704887353343,0.0,0.0
2,clstm,16,3,16,16,0.001,Adam,BCELoss,200,0.5999219867377454,0.8892607788094724,0.6385275394409078,0.5657184894556155
3,clstm,16,3,16,16,0.01,Adam,BCELoss,200,0.0,0.8699704887353343,0.0,0.0
4,clstm,16,3,16,32,0.001,Adam,BCELoss,200,0.5968457368161656,0.8822428561145901,0.6703570440077498,0.537863646457917
5,clstm,16,3,16,32,0.01,Adam,BCELoss,200,0.0,0.8699704887353343,0.0,0.0
6,clstm,16,3,32,4,0.001,Adam,BCELoss,200,0.6158635625338387,0.8978622327790974,0.6296706338223084,0.6026490066225165
7,clstm,16,3,32,4,0.01,Adam,BCELoss,200,0.0,0.8699704887353343,0.0,0.0
8,clstm,16,3,32,16,0.001,Adam,BCELoss,200,0.6152398871119473,0.8969624991002664,0.6335455300304456,0.5979623824451411
9,clstm,16,3,32,16,0.01,Adam,BCELoss,200,0.6807268868550206,0.9133736414021449,0.7102131192914476,0.6535914416709119
10,clstm,16,3,32,32,0.001,Adam,BCELoss,200,0.6240020602626835,0.8949111063125315,0.670633822308331,0.5834336624127137
11,clstm,16,3,32,32,0.01,Adam,BCELoss,200,0.0,0.8699704887353343,0.0,0.0
12,clstm,16,5,16,4,0.001,Adam,BCELoss,200,0.6450309722596284,0.9051320809040524,0.6628840298920564,0.6281143456595857
13,clstm,16,5,16,4,0.01,Adam,BCELoss,200,0.0,0.8699704887353343,0.0,0.0
14,clstm,16,5,16,16,0.001,Adam,BCELoss,200,0.5994507650058846,0.8897646296696178,0.6343758649321893,0.5681705503222608
15,clstm,16,5,16,16,0.01,Adam,BCELoss,200,0.0,0.8699704887353343,0.0,0.0
16,clstm,16,5,16,32,0.001,Adam,BCELoss,200,0.6148541114058356,0.8954869358669834,0.6415721007473014,0.5902724726254138
17,clstm,16,5,16,32,0.01,Adam,BCELoss,200,0.6991746031746031,0.9147412365939682,0.7619706615001384,0.6459408728296574
18,clstm,16,5,32,4,0.001,Adam,BCELoss,200,0.6075781664016957,0.8933995537320953,0.6346526432327706,0.5827191867852605
19,clstm,16,5,32,4,0.01,Adam,BCELoss,200,0.0,0.8699704887353343,0.0,0.0
